"title","state","description","impact_percentage","workers_total","workers_risk","workers_risk_percentage","risk_level","workers_risk_level","idhm","pib"
"BENTO GONÇALVES","RS","BENTO GONÇALVES / RS","0.54","43366","14169","0.33","4","1","0.778","5531266.00"
"CAÇAPAVA DO SUL","RS","CAÇAPAVA DO SUL / RS","0.55","6207","2546","0.41","3","4","0.704","815749.00"
"CACHOEIRA DO SUL","RS","CACHOEIRA DO SUL / RS","0.55","14707","6189","0.42","3","2","0.742","2298800.00"
"CACHOEIRINHA","RS","CACHOEIRINHA / RS","0.53","33453","8675","0.26","4","2","0.627","25677.00"
"CAMAQUÃ","RS","CAMAQUÃ / RS","0.54","11724","4415","0.38","4","3","0.697","2027360.00"
"CAMPO BOM","RS","CAMPO BOM / RS","0.52","21383","6279","0.29","5","2","0.745","2815006.00"
"CANELA","RS","CANELA / RS","0.57","9358","4160","0.44","2","3","0.748","1001465.00"
"CANOAS","RS","CANOAS / RS","0.57","79748","29498","0.37","2","1","0.75","18947513.00"
"CAPÃO DA CANOA","RS","CAPÃO DA CANOA / RS","0.6","12351","6351","0.51","1","2","0.743","1441573.00"
"CARAZINHO","RS","CARAZINHO / RS","0.55","13878","5267","0.38","3","3","0.766","2611747.00"
"CARLOS BARBOSA","RS","CARLOS BARBOSA / RS","0.52","12102","2565","0.21","5","4","0.796","2204423.00"
"CAXIAS DO SUL","RS","CAXIAS DO SUL / RS","0.53","150876","43261","0.29","4","1","0.782","21717020.00"
"CHARQUEADAS","RS","CHARQUEADAS / RS","0.55","6632","2145","0.32","3","5","0.747","1050976.00"
"CRUZ ALTA","RS","CRUZ ALTA / RS","0.57","12567","5202","0.41","2","3","0.75","3188890.00"
"DOIS IRMÃOS","RS","DOIS IRMÃOS / RS","0.5","11825","2491","0.21","5","4","0.743","1688574.00"
"DOM PEDRITO","RS","DOM PEDRITO / RS","0.52","6722","2727","0.41","5","4","0.708","1363474.00"
"ELDORADO DO SUL","RS","ELDORADO DO SUL / RS","0.54","15821","3131","0.2","4","4","0.717","1590085.00"
"ENCANTADO","RS","ENCANTADO / RS","0.53","7628","1968","0.26","4","5","0.767","827011.00"
"ERECHIM","RS","ERECHIM / RS","0.54","35406","11098","0.31","4","2","0.776","4484452.00"
"ESTÂNCIA VELHA","RS","ESTÂNCIA VELHA / RS","0.52","12618","3101","0.25","5","4","0.757","1310205.00"
"ESTEIO","RS","ESTEIO / RS","0.56","17605","6106","0.35","3","2","0.754","3183305.00"
"ESTRELA","RS","ESTRELA / RS","0.52","9830","2608","0.27","5","4","0.767","1275215.00"
"FARROUPILHA","RS","FARROUPILHA / RS","0.52","25109","6416","0.26","5","2","0.777","3161847.00"
"FLORES DA CUNHA","RS","FLORES DA CUNHA / RS","0.5","10449","2321","0.22","5","4","0.754","1481282.00"
"FREDERICO WESTPHALEN","RS","FREDERICO WESTPHALEN / RS","0.55","8812","3200","0.36","3","4","0.76","1050979.00"
"GARIBALDI","RS","GARIBALDI / RS","0.52","13396","2942","0.22","5","4","0.786","1812742.00"
"GRAMADO","RS","GRAMADO / RS","0.57","18526","8804","0.48","2","2","0.764","1720061.00"
"GRAVATAÍ","RS","GRAVATAÍ / RS","0.54","53344","15941","0.3","4","1","0.736","12406079.00"
"GUAÍBA","RS","GUAÍBA / RS","0.54","17128","5726","0.33","4","2","0.73","5629242.00"
"GUAPORÉ","RS","GUAPORÉ / RS","0.51","8367","2206","0.26","5","4","0.765","828596.00"
"HORIZONTINA","RS","HORIZONTINA / RS","0.52","5634","1492","0.26","5","5","0.783","1583978.00"
"IBIRUBÁ","RS","IBIRUBÁ / RS","0.54","6102","2077","0.34","4","5","0.765","904036.00"
"IGREJINHA","RS","IGREJINHA / RS","0.51","12034","2771","0.23","5","4","0.721","1593833.00"
"IJUÍ","RS","IJUÍ / RS","0.57","22046","8646","0.39","2","2","0.781","3194967.00"
"ITAQUI","RS","ITAQUI / RS","0.52","7051","2759","0.39","5","4","0.713","1338664.00"
"IVOTI","RS","IVOTI / RS","0.53","7823","2072","0.26","4","5","0.784","903806.00"
"LAGOA VERMELHA","RS","LAGOA VERMELHA / RS","0.53","5944","1990","0.33","4","5","0.738","964817.00"
"LAJEADO","RS","LAJEADO / RS","0.55","35649","11073","0.31","3","2","0.675","63344.00"
"MARAU","RS","MARAU / RS","0.54","13983","3928","0.28","4","3","0.593","213193.00"
"MONTENEGRO","RS","MONTENEGRO / RS","0.54","19952","6420","0.32","4","2","0.755","3301681.00"
"NÃO-ME-TOQUE","RS","NÃO-ME-TOQUE / RS","0.51","6965","1689","0.24","5","5","0.765","1146546.00"
"NOVA HARTZ","RS","NOVA HARTZ / RS","0.49","6553","1029","0.16","5","5","0.689","613593.00"
"NOVA PETRÓPOLIS","RS","NOVA PETRÓPOLIS / RS","0.53","7117","2164","0.3","4","5","0.78","762696.00"
"NOVA PRATA","RS","NOVA PRATA / RS","0.53","8508","2526","0.3","4","4","0.766","1199908.00"
"NOVA SANTA RITA","RS","NOVA SANTA RITA / RS","0.52","7856","1855","0.24","5","5","0.554","32992.00"
"NOVO HAMBURGO","RS","NOVO HAMBURGO / RS","0.55","71291","26169","0.37","3","1","0.747","8736151.00"
"OSÓRIO","RS","OSÓRIO / RS","0.57","11281","4282","0.38","2","3","0.751","2026364.00"
"PALMEIRA DAS MISSÕES","RS","PALMEIRA DAS MISSÕES / RS","0.55","5759","2432","0.42","3","4","0.737","1354145.00"
"PANAMBI","RS","PANAMBI / RS","0.52","12944","3583","0.28","5","3","0.761","1972116.00"
"PAROBÉ","RS","PAROBÉ / RS","0.51","13153","2893","0.22","5","4","0.704","1144719.00"
"PASSO FUNDO","RS","PASSO FUNDO / RS","0.57","59629","23495","0.39","2","1","0.776","8584861.00"
"PELOTAS","RS","PELOTAS / RS","0.58","73947","32565","0.44","1","1","0.739","8573355.00"
"PORTÃO","RS","PORTÃO / RS","0.52","8234","2035","0.25","5","5","0.713","1077214.00"
"PORTO ALEGRE","RS","PORTO ALEGRE / RS","0.58","646928","300610","0.46","1","1","0.805","73862306.00"
"RIO GRANDE","RS","RIO GRANDE / RS","0.57","43547","16998","0.39","2","1","0.744","9215701.00"
"RIO PARDO","RS","RIO PARDO / RS","0.55","5329","2094","0.39","3","5","0.693","872294.00"
"ROLANTE","RS","ROLANTE / RS","0.49","7081","1458","0.21","5","5","0.688","566895.00"
"ROSÁRIO DO SUL","RS","ROSÁRIO DO SUL / RS","0.54","5634","2281","0.4","4","4","0.699","921813.00"
"SANTA CRUZ DO SUL","RS","SANTA CRUZ DO SUL / RS","0.55","41741","14579","0.35","3","1","0.773","8238767.00"
"SANTA MARIA","RS","SANTA MARIA / RS","0.58","68359","30078","0.44","1","1","0.59","65384.00"
"SANTA ROSA","RS","SANTA ROSA / RS","0.55","22216","7683","0.35","3","2","0.769","2810212.00"
"SANTA VITÓRIA DO PALMAR","RS","SANTA VITÓRIA DO PALMAR / RS","0.52","6098","2235","0.37","5","4","0.712","960548.00"
"SANTIAGO","RS","SANTIAGO / RS","0.57","8167","3700","0.45","2","3","0.766","1271105.00"
"SANTO ÂNGELO","RS","SANTO ÂNGELO / RS","0.57","18523","7262","0.39","2","2","0.772","2318885.00"
"SANTO ANTÔNIO DA PATRULHA","RS","SANTO ANTÔNIO DA PATRULHA / RS","0.52","9854","2892","0.29","5","4","0.717","1266970.00"
"SÃO BORJA","RS","SÃO BORJA / RS","0.54","10862","4256","0.39","4","3","0.736","1784089.00"
"SÃO GABRIEL","RS","SÃO GABRIEL / RS","0.56","9387","4037","0.43","3","3","0.592","109646.00"
"SÃO LEOPOLDO","RS","SÃO LEOPOLDO / RS","0.54","56812","17951","0.32","4","1","0.739","7829272.00"
"SÃO LOURENÇO DO SUL","RS","SÃO LOURENÇO DO SUL / RS","0.59","5893","3007","0.51","1","4","0.687","1108701.00"
"SÃO LUIZ GONZAGA","RS","SÃO LUIZ GONZAGA / RS","0.56","6409","2547","0.4","3","4","0.741","1134868.00"
"SÃO MARCOS","RS","SÃO MARCOS / RS","0.51","6749","1727","0.26","5","5","0.768","706530.00"
"SÃO SEBASTIÃO DO CAÍ","RS","SÃO SEBASTIÃO DO CAÍ / RS","0.54","7596","1718","0.23","4","5","0.739","631811.00"
"SAPIRANGA","RS","SAPIRANGA / RS","0.52","24116","5836","0.24","5","2","0.711","3286119.00"
"SAPUCAIA DO SUL","RS","SAPUCAIA DO SUL / RS","0.56","19668","7046","0.36","3","2","0.726","3135020.00"
"SARANDI","RS","SARANDI / RS","0.54","6533","1892","0.29","4","5","0.695","1456938.00"
"SERAFINA CORRÊA","RS","SERAFINA CORRÊA / RS","0.53","5918","1295","0.22","4","5","0.76","618494.00"
"SOLEDADE","RS","SOLEDADE / RS","0.56","5011","1960","0.39","3","5","0.616","170472.00"
"TAPEJARA","RS","TAPEJARA / RS","0.54","8409","2219","0.26","4","4","0.703","484574.00"
"TAQUARA","RS","TAQUARA / RS","0.56","10803","4104","0.38","3","3","0.727","1256709.00"
"TEUTÔNIA","RS","TEUTÔNIA / RS","0.52","10994","2857","0.26","5","4","0.747","1289617.00"
"TORRES","RS","TORRES / RS","0.59","9796","4707","0.48","1","3","0.762","1162766.00"
"TRAMANDAÍ","RS","TRAMANDAÍ / RS","0.6","7579","3799","0.5","1","3","0.719","1011455.00"
"TRÊS COROAS","RS","TRÊS COROAS / RS","0.48","8461","1682","0.2","5","5","0.71","911456.00"
"TRÊS DE MAIO","RS","TRÊS DE MAIO / RS","0.55","6153","2093","0.34","3","5","0.759","946236.00"
"TRÊS PASSOS","RS","TRÊS PASSOS / RS","0.56","5916","2317","0.39","3","4","0.768","779906.00"
"TRIUNFO","RS","TRIUNFO / RS","0.55","10516","2525","0.24","3","4","0.609","74711.00"
"URUGUAIANA","RS","URUGUAIANA / RS","0.55","21280","9386","0.44","3","2","0.744","2807639.00"
"VACARIA","RS","VACARIA / RS","0.51","17190","5162","0.3","5","3","0.721","2131390.00"
"VENÂNCIO AIRES","RS","VENÂNCIO AIRES / RS","0.54","15866","4592","0.29","4","3","0.712","2696507.00"
"VERANÓPOLIS","RS","VERANÓPOLIS / RS","0.52","7604","1906","0.25","5","5","0.773","1405090.00"
"VIAMÃO","RS","VIAMÃO / RS","0.58","20969","9735","0.46","1","2","0.717","3564507.00"
"ARAQUARI","SC","ARAQUARI / SC","0.51","14491","2887","0.2","5","4","0.703","3925932.00"
"ARARANGUÁ","SC","ARARANGUÁ / SC","0.56","15143","5893","0.39","3","2","0.76","1724538.00"
"BALNEÁRIO CAMBORIÚ","SC","BALNEÁRIO CAMBORIÚ / SC","0.59","48539","23369","0.48","1","1","0.845","5148510.00"
"BARRA VELHA","SC","BARRA VELHA / SC","0.55","6489","2263","0.35","3","4","0.738","1664142.00"
"BIGUAÇU","SC","BIGUAÇU / SC","0.54","13436","3959","0.29","4","3","0.739","1609123.00"
"BLUMENAU","SC","BLUMENAU / SC","0.54","131686","41771","0.32","4","1","0.806","16008744.00"
"BOMBINHAS","SC","BOMBINHAS / SC","0.58","6309","3251","0.52","1","3","0.781","598278.00"
"BRAÇO DO NORTE","SC","BRAÇO DO NORTE / SC","0.53","11401","3288","0.29","4","3","0.778","1134369.00"
"BRUSQUE","SC","BRUSQUE / SC","0.53","48732","12994","0.27","4","1","0.795","5883938.00"
"CAÇADOR","SC","CAÇADOR / SC","0.51","23984","5801","0.24","5","2","0.735","3073698.00"
"CAMBORIÚ","SC","CAMBORIÚ / SC","0.56","10722","3832","0.36","3","3","0.726","1350594.00"
"CAMPOS NOVOS","SC","CAMPOS NOVOS / SC","0.53","9494","2625","0.28","4","4","0.742","1964428.00"
"CANOINHAS","SC","CANOINHAS / SC","0.55","11455","4229","0.37","3","3","0.757","1580506.00"
"CAPINZAL","SC","CAPINZAL / SC","0.53","8557","1662","0.19","4","5","0.752","838077.00"
"CHAPECÓ","SC","CHAPECÓ / SC","0.55","79371","23676","0.3","3","1","0.79","8890178.00"
"COCAL DO SUL","SC","COCAL DO SUL / SC","0.5","5110","1161","0.23","5","5","0.78","705873.00"
"CONCÓRDIA","SC","CONCÓRDIA / SC","0.54","28500","8456","0.3","4","2","0.8","3178922.00"
"CRICIÚMA","SC","CRICIÚMA / SC","0.54","67296","21676","0.32","4","1","0.788","7146731.00"
"CURITIBANOS","SC","CURITIBANOS / SC","0.54","9463","3012","0.32","4","4","0.721","1495509.00"
"FLORIANÓPOLIS","SC","FLORIANÓPOLIS / SC","0.59","256551","123979","0.48","1","1","0.847","19512519.00"
"FORQUILHINHA","SC","FORQUILHINHA / SC","0.51","7413","1484","0.2","5","5","0.753","813292.00"
"FRAIBURGO","SC","FRAIBURGO / SC","0.51","8891","2532","0.28","5","4","0.731","907522.00"
"GAROPABA","SC","GAROPABA / SC","0.57","5658","2503","0.44","2","4","0.753","534079.00"
"GASPAR","SC","GASPAR / SC","0.52","22620","5000","0.22","5","3","0.765","2824094.00"
"GUABIRUBA","SC","GUABIRUBA / SC","0.49","6821","1050","0.15","5","5","0.754","902535.00"
"GUARAMIRIM","SC","GUARAMIRIM / SC","0.51","12503","2698","0.22","5","4","0.751","1536598.00"
"IBIRAMA","SC","IBIRAMA / SC","0.5","5796","1152","0.2","5","5","0.737","421545.00"
"IÇARA","SC","IÇARA / SC","0.52","16522","3746","0.23","5","3","0.741","2101908.00"
"IMBITUBA","SC","IMBITUBA / SC","0.57","9968","4216","0.42","2","3","0.765","1547410.00"
"INDAIAL","SC","INDAIAL / SC","0.52","23952","5318","0.22","5","3","0.777","2499704.00"
"ITAJAÍ","SC","ITAJAÍ / SC","0.55","83338","26216","0.31","3","1","0.795","21913882.00"
"ITAPEMA","SC","ITAPEMA / SC","0.57","17700","7128","0.4","2","2","0.796","1698077.00"
"ITAPIRANGA","SC","ITAPIRANGA / SC","0.5","6832","1397","0.2","5","5","0.654","107576.00"
"ITUPORANGA","SC","ITUPORANGA / SC","0.53","6191","1982","0.32","4","5","0.748","831607.00"
"JARAGUÁ DO SUL","SC","JARAGUÁ DO SUL / SC","0.52","64994","15943","0.25","5","1","0.803","8528976.00"
"JOAÇABA","SC","JOAÇABA / SC","0.56","15950","4961","0.31","3","3","0.827","1576907.00"
"JOINVILLE","SC","JOINVILLE / SC","0.54","212908","63514","0.3","4","1","0.809","27378205.00"
"LAGES","SC","LAGES / SC","0.55","43272","15945","0.37","3","1","0.77","5074152.00"
"LAGUNA","SC","LAGUNA / SC","0.56","6766","2821","0.42","3","4","0.752","841698.00"
"MAFRA","SC","MAFRA / SC","0.53","13365","4203","0.31","4","3","0.777","1659985.00"
"MARAVILHA","SC","MARAVILHA / SC","0.53","9060","2200","0.24","4","5","0.569","66185.00"
"MORRO DA FUMAÇA","SC","MORRO DA FUMAÇA / SC","0.51","5978","1282","0.21","5","5","0.738","635361.00"
"NAVEGANTES","SC","NAVEGANTES / SC","0.52","19647","5333","0.27","5","3","0.736","4106551.00"
"NOVA TRENTO","SC","NOVA TRENTO / SC","0.52","5760","1032","0.18","5","5","0.748","523515.00"
"NOVA VENEZA","SC","NOVA VENEZA / SC","0.49","6726","1089","0.16","5","5","0.768","706798.00"
"ORLEANS","SC","ORLEANS / SC","0.52","6933","1711","0.25","5","5","0.755","972451.00"
"PALHOÇA","SC","PALHOÇA / SC","0.56","41414","14632","0.35","3","1","0.757","4832015.00"
"PENHA","SC","PENHA / SC","0.57","6977","3012","0.43","2","4","0.743","673705.00"
"PINHALZINHO","SC","PINHALZINHO / SC","0.52","6872","1764","0.26","5","5","0.725","250266.00"
"POMERODE","SC","POMERODE / SC","0.51","14236","2924","0.21","5","4","0.78","1918862.00"
"PORTO BELO","SC","PORTO BELO / SC","0.55","6477","2465","0.38","3","4","0.76","944823.00"
"PORTO UNIÃO","SC","PORTO UNIÃO / SC","0.56","6155","2110","0.34","3","5","0.786","702997.00"
"PRESIDENTE GETÚLIO","SC","PRESIDENTE GETÚLIO / SC","0.49","6763","1171","0.17","5","5","0.759","625706.00"
"RIO DO SUL","SC","RIO DO SUL / SC","0.54","24703","8326","0.34","4","2","0.802","2571376.00"
"RIO NEGRINHO","SC","RIO NEGRINHO / SC","0.51","11822","2918","0.25","5","4","0.738","1092305.00"
"SANTO AMARO DA IMPERATRIZ","SC","SANTO AMARO DA IMPERATRIZ / SC","0.57","5432","2281","0.42","2","4","0.781","753610.00"
"SÃO BENTO DO SUL","SC","SÃO BENTO DO SUL / SC","0.52","27967","7119","0.25","5","2","0.782","2992809.00"
"SÃO FRANCISCO DO SUL","SC","SÃO FRANCISCO DO SUL / SC","0.56","11061","3940","0.36","3","3","0.762","3993553.00"
"SÃO JOÃO BATISTA","SC","SÃO JOÃO BATISTA / SC","0.5","8961","1832","0.2","5","5","0.598","123749.00"
"SÃO JOAQUIM","SC","SÃO JOAQUIM / SC","0.48","6184","1706","0.28","5","5","0.687","858521.00"
"SÃO JOSÉ","SC","SÃO JOSÉ / SC","0.56","98672","32217","0.33","3","1","0.809","10131013.00"
"SÃO LOURENÇO DO OESTE","SC","SÃO LOURENÇO DO OESTE / SC","0.52","9246","1808","0.2","5","5","0.749","839374.00"
"SÃO MIGUEL DO OESTE","SC","SÃO MIGUEL DO OESTE / SC","0.55","13651","4755","0.35","3","3","0.801","1449262.00"
"SEARA","SC","SEARA / SC","0.5","6828","1334","0.2","5","5","0.779","812693.00"
"SOMBRIO","SC","SOMBRIO / SC","0.53","6852","2245","0.33","4","4","0.728","751251.00"
"TAIÓ","SC","TAIÓ / SC","0.53","5159","1412","0.27","4","5","0.761","573530.00"
"TIJUCAS","SC","TIJUCAS / SC","0.53","13062","3887","0.3","4","3","0.76","1466587.00"
"TIMBÓ","SC","TIMBÓ / SC","0.51","16909","3965","0.23","5","3","0.784","1832021.00"
"TRÊS BARRAS","SC","TRÊS BARRAS / SC","0.5","5234","996","0.19","5","5","0.706","1043262.00"
"TUBARÃO","SC","TUBARÃO / SC","0.55","36671","13211","0.36","3","1","0.796","3514932.00"
"URUSSANGA","SC","URUSSANGA / SC","0.5","6268","1384","0.22","5","5","0.772","794243.00"
"VIDEIRA","SC","VIDEIRA / SC","0.54","20472","5274","0.26","4","3","0.764","2205750.00"
"XANXERÊ","SC","XANXERÊ / SC","0.55","14134","5552","0.39","3","3","0.775","1603411.00"
"XAXIM","SC","XAXIM / SC","0.52","10449","2354","0.23","5","4","0.752","929324.00"
"ARACAJU","SE","ARACAJU / SE","0.6","195775","97601","0.5","1","1","0.77","16373280.00"
"ESTÂNCIA","SE","ESTÂNCIA / SE","0.57","9456","3735","0.39","2","3","0.647","1633878.00"
"ITABAIANA","SE","ITABAIANA / SE","0.57","14999","6869","0.46","2","2","0.613","273652.00"
"LAGARTO","SE","LAGARTO / SE","0.56","11864","4620","0.39","3","3","0.625","1505153.00"
"LARANJEIRAS","SE","LARANJEIRAS / SE","0.45","6121","1239","0.2","5","5","0.642","926217.00"
"NOSSA SENHORA DO SOCORRO","SE","NOSSA SENHORA DO SOCORRO / SE","0.55","19111","6265","0.33","3","2","0.664","2597290.00"
"SÃO CRISTÓVÃO","SE","SÃO CRISTÓVÃO / SE","0.57","12983","5657","0.44","2","2","0.662","909858.00"
"ARAGUAÍNA","TO","ARAGUAÍNA / TO","0.57","32998","13480","0.41","2","1","0.752","4013612.00"
"GURUPI","TO","GURUPI / TO","0.57","14634","5878","0.4","2","2","0.759","2155992.00"
"PALMAS","TO","PALMAS / TO","0.62","126321","70291","0.56","1","1","0.788","8246273.00"
"PARAÍSO DO TOCANTINS","TO","PARAÍSO DO TOCANTINS / TO","0.55","8482","3048","0.36","3","4","0.764","1196353.00"
"PORTO NACIONAL","TO","PORTO NACIONAL / TO","0.56","8348","3254","0.39","3","3","0.74","2627604.00"
