"title","state","description","impact_percentage","workers_total","workers_risk","workers_risk_percentage","risk_level","workers_risk_level","idhm","pib"
"LAVRAS","MG","LAVRAS / MG","0.55","25836","10332","0.4","3","2","0.782","2485868.00"
"LEOPOLDINA","MG","LEOPOLDINA / MG","0.54","10500","3842","0.37","4","3","0.726","1038715.00"
"MACHADO","MG","MACHADO / MG","0.51","9056","2654","0.29","5","4","0.715","962423.00"
"MANHUAÇU","MG","MANHUAÇU / MG","0.56","21678","7941","0.37","3","2","0.689","2385010.00"
"MARIANA","MG","MARIANA / MG","0.55","14170","4965","0.35","3","3","0.742","2897515.00"
"MATEUS LEME","MG","MATEUS LEME / MG","0.52","5976","1703","0.28","5","5","0.704","692349.00"
"MATOZINHOS","MG","MATOZINHOS / MG","0.52","10343","2588","0.25","5","4","0.731","1003317.00"
"MONTE CARMELO","MG","MONTE CARMELO / MG","0.51","9339","2951","0.32","5","4","0.728","1091759.00"
"MONTES CLAROS","MG","MONTES CLAROS / MG","0.58","85466","39540","0.46","1","1","0.77","8966059.00"
"MURIAÉ","MG","MURIAÉ / MG","0.57","23429","10296","0.44","2","2","0.734","2100138.00"
"NANUQUE","MG","NANUQUE / MG","0.57","5554","2265","0.41","2","4","0.701","643887.00"
"NOVA LIMA","MG","NOVA LIMA / MG","0.55","47495","14543","0.31","3","1","0.813","9112333.00"
"NOVA SERRANA","MG","NOVA SERRANA / MG","0.49","25530","5542","0.22","5","3","0.715","2602636.00"
"OLIVEIRA","MG","OLIVEIRA / MG","0.53","9070","3232","0.36","4","4","0.699","848005.00"
"OURO BRANCO","MG","OURO BRANCO / MG","0.54","11500","3148","0.27","4","4","0.645","47198.00"
"OURO FINO","MG","OURO FINO / MG","0.53","5845","1897","0.32","4","5","0.722","657703.00"
"OURO PRETO","MG","OURO PRETO / MG","0.56","16929","6510","0.38","3","2","0.741","4644423.00"
"PARÁ DE MINAS","MG","PARÁ DE MINAS / MG","0.55","26993","10227","0.38","3","2","0.725","2744669.00"
"PARACATU","MG","PARACATU / MG","0.52","23286","6974","0.3","5","2","0.744","3510748.00"
"PARAOPEBA","MG","PARAOPEBA / MG","0.58","7232","3220","0.45","1","4","0.694","565326.00"
"PASSOS","MG","PASSOS / MG","0.56","24295","9938","0.41","3","2","0.756","2387740.00"
"PATOS DE MINAS","MG","PATOS DE MINAS / MG","0.55","42117","15790","0.37","3","1","0.765","4378966.00"
"PATROCÍNIO","MG","PATROCÍNIO / MG","0.54","21814","7946","0.36","4","2","0.729","2707529.00"
"PEDRO LEOPOLDO","MG","PEDRO LEOPOLDO / MG","0.55","14393","4606","0.32","3","3","0.757","1437172.00"
"PIRAPORA","MG","PIRAPORA / MG","0.54","13816","4679","0.34","4","3","0.731","1836804.00"
"PIUMHI","MG","PIUMHI / MG","0.55","7730","3283","0.42","3","3","0.737","866679.00"
"POÇOS DE CALDAS","MG","POÇOS DE CALDAS / MG","0.56","49122","18710","0.38","3","1","0.779","6365940.00"
"POMPÉU","MG","POMPÉU / MG","0.52","5397","1841","0.34","5","5","0.689","737149.00"
"PONTE NOVA","MG","PONTE NOVA / MG","0.56","16054","6079","0.38","3","2","0.717","1649724.00"
"POUSO ALEGRE","MG","POUSO ALEGRE / MG","0.56","47947","18237","0.38","3","1","0.774","7388029.00"
"PRATA","MG","PRATA / MG","0.48","6400","1751","0.27","5","5","0.608","49192.00"
"RIBEIRÃO DAS NEVES","MG","RIBEIRÃO DAS NEVES / MG","0.58","25665","11464","0.45","1","2","0.684","3855401.00"
"RIO PARANAÍBA","MG","RIO PARANAÍBA / MG","0.37","5909","875","0.15","5","5","0.709","499792.00"
"SABARÁ","MG","SABARÁ / MG","0.56","17542","5952","0.34","3","2","0.731","2523966.00"
"SACRAMENTO","MG","SACRAMENTO / MG","0.5","6393","1895","0.3","5","5","0.732","1534687.00"
"SALINAS","MG","SALINAS / MG","0.56","5192","2167","0.42","3","5","0.679","553718.00"
"SANTA BÁRBARA","MG","SANTA BÁRBARA / MG","0.56","5413","2070","0.38","3","5","0.583","166403.00"
"SANTA LUZIA","MG","SANTA LUZIA / MG","0.56","25075","9197","0.37","3","2","0.55","547867.00"
"SANTA RITA DO SAPUCAÍ","MG","SANTA RITA DO SAPUCAÍ / MG","0.5","12209","3014","0.25","5","4","0.721","1559508.00"
"SANTO ANTÔNIO DO MONTE","MG","SANTO ANTÔNIO DO MONTE / MG","0.56","5275","1817","0.34","3","5","0.724","528306.00"
"SANTOS DUMONT","MG","SANTOS DUMONT / MG","0.56","6411","2710","0.42","3","4","0.741","905917.00"
"SÃO GOTARDO","MG","SÃO GOTARDO / MG","0.48","7667","2513","0.33","5","4","0.736","757567.00"
"SÃO JOÃO DEL REI","MG","SÃO JOÃO DEL REI / MG","0.56","18537","7661","0.41","3","2","0.758","2033659.00"
"SÃO JOÃO NEPOMUCENO","MG","SÃO JOÃO NEPOMUCENO / MG","0.53","5491","1571","0.29","4","5","0.708","413880.00"
"SÃO JOAQUIM DE BICAS","MG","SÃO JOAQUIM DE BICAS / MG","0.52","5980","1336","0.22","5","5","0.662","602735.00"
"SÃO LOURENÇO","MG","SÃO LOURENÇO / MG","0.59","11003","5468","0.5","1","3","0.759","976870.00"
"SÃO SEBASTIÃO DO PARAÍSO","MG","SÃO SEBASTIÃO DO PARAÍSO / MG","0.53","17543","6113","0.35","4","2","0.722","1937431.00"
"SARZEDO","MG","SARZEDO / MG","0.53","6711","1696","0.25","4","5","0.734","895023.00"
"SETE LAGOAS","MG","SETE LAGOAS / MG","0.55","55941","20142","0.36","3","1","0.76","8262636.00"
"TEÓFILO OTONI","MG","TEÓFILO OTONI / MG","0.59","25876","11920","0.46","1","1","0.701","2365624.00"
"TIMÓTEO","MG","TIMÓTEO / MG","0.54","16157","5038","0.31","4","3","0.77","2876835.00"
"TRÊS CORAÇÕES","MG","TRÊS CORAÇÕES / MG","0.53","16167","5410","0.33","4","3","0.744","2216413.00"
"TRÊS MARIAS","MG","TRÊS MARIAS / MG","0.54","5079","1693","0.33","4","5","0.752","1667559.00"
"TRÊS PONTAS","MG","TRÊS PONTAS / MG","0.5","13076","3990","0.31","5","3","0.731","1254491.00"
"UBÁ","MG","UBÁ / MG","0.54","26379","8416","0.32","4","2","0.724","2861452.00"
"UBERABA","MG","UBERABA / MG","0.56","87888","33853","0.39","3","1","0.772","13152651.00"
"UBERLÂNDIA","MG","UBERLÂNDIA / MG","0.57","209730","88172","0.42","2","1","0.789","34201962.00"
"UNAÍ","MG","UNAÍ / MG","0.54","16867","6419","0.38","4","2","0.736","2676152.00"
"VARGINHA","MG","VARGINHA / MG","0.55","40401","14544","0.36","3","1","0.778","5442563.00"
"VÁRZEA DA PALMA","MG","VÁRZEA DA PALMA / MG","0.54","5674","1826","0.32","4","5","0.666","678519.00"
"VESPASIANO","MG","VESPASIANO / MG","0.56","16928","6270","0.37","3","2","0.688","2596132.00"
"VIÇOSA","MG","VIÇOSA / MG","0.58","20792","9536","0.46","1","2","0.592","15769.00"
"VISCONDE DO RIO BRANCO","MG","VISCONDE DO RIO BRANCO / MG","0.52","10665","2920","0.27","5","4","0.709","1130603.00"
"AMAMBAI","MS","AMAMBAI / MS","0.53","5898","2447","0.41","4","4","0.673","902427.00"
"ANGÉLICA","MS","ANGÉLICA / MS","0.44","6168","769","0.12","5","5","0.697","721575.00"
"APARECIDA DO TABOADO","MS","APARECIDA DO TABOADO / MS","0.5","7306","1482","0.2","5","5","0.697","1036097.00"
"AQUIDAUANA","MS","AQUIDAUANA / MS","0.53","6685","2490","0.37","4","4","0.688","917889.00"
"BATAGUASSU","MS","BATAGUASSU / MS","0.52","5878","1536","0.26","5","5","0.71","791859.00"
"BONITO","MS","BONITO / MS","0.54","5095","2094","0.41","4","5","0.546","136234.00"
"CAARAPÓ","MS","CAARAPÓ / MS","0.5","6562","1769","0.27","5","5","0.692","1183428.00"
"CAMPO GRANDE","MS","CAMPO GRANDE / MS","0.58","236769","99100","0.42","1","1","0.524","84090.00"
"CHAPADÃO DO SUL","MS","CHAPADÃO DO SUL / MS","0.5","8168","2241","0.27","5","4","0.754","1486307.00"
"CORUMBÁ","MS","CORUMBÁ / MS","0.57","17000","8325","0.49","2","2","0.7","2869213.00"
"COSTA RICA","MS","COSTA RICA / MS","0.5","5941","1706","0.29","5","5","0.706","1481953.00"
"COXIM","MS","COXIM / MS","0.56","5263","2312","0.44","3","4","0.703","839889.00"
"DOURADOS","MS","DOURADOS / MS","0.56","57162","23334","0.41","3","1","0.747","8327408.00"
"MARACAJU","MS","MARACAJU / MS","0.49","9641","2762","0.29","5","4","0.736","2386370.00"
"NAVIRAÍ","MS","NAVIRAÍ / MS","0.53","11165","3803","0.34","4","3","0.7","1480663.00"
"NOVA ALVORADA DO SUL","MS","NOVA ALVORADA DO SUL / MS","0.48","5276","1173","0.22","5","5","0.694","1434123.00"
"NOVA ANDRADINA","MS","NOVA ANDRADINA / MS","0.53","11563","3838","0.33","4","3","0.721","2007865.00"
"PARANAÍBA","MS","PARANAÍBA / MS","0.51","8924","3036","0.34","5","4","0.721","1192288.00"
"PONTA PORÃ","MS","PONTA PORÃ / MS","0.56","13469","5758","0.43","3","2","0.701","2641613.00"
"RIO BRILHANTE","MS","RIO BRILHANTE / MS","0.49","9949","2271","0.23","5","4","0.715","2076920.00"
"SÃO GABRIEL DO OESTE","MS","SÃO GABRIEL DO OESTE / MS","0.53","8569","2451","0.29","4","4","0.729","1412562.00"
"SIDROLÂNDIA","MS","SIDROLÂNDIA / MS","0.52","9634","2669","0.28","5","4","0.686","1632087.00"
"TRÊS LAGOAS","MS","TRÊS LAGOAS / MS","0.53","34493","10670","0.31","4","2","0.744","10131705.00"
"ÁGUA BOA","MT","ÁGUA BOA / MT","0.53","5566","1894","0.34","4","5","0.576","128317.00"
"ALTA FLORESTA","MT","ALTA FLORESTA / MT","0.55","11643","4537","0.39","3","3","0.714","1491333.00"
"BARRA DO BUGRES","MT","BARRA DO BUGRES / MT","0.51","5896","1637","0.28","5","5","0.693","1308782.00"
"BARRA DO GARÇAS","MT","BARRA DO GARÇAS / MT","0.55","14329","5603","0.39","3","2","0.748","1754165.00"
"CÁCERES","MT","CÁCERES / MT","0.56","14291","6928","0.48","3","2","0.708","1816006.00"
"CAMPO NOVO DO PARECIS","MT","CAMPO NOVO DO PARECIS / MT","0.5","13004","3472","0.27","5","3","0.734","2933729.00"
"CAMPO VERDE","MT","CAMPO VERDE / MT","0.52","11146","3730","0.33","5","3","0.75","2427047.00"
"COLÍDER","MT","COLÍDER / MT","0.54","6165","2099","0.34","4","5","0.713","850077.00"
"CUIABÁ","MT","CUIABÁ / MT","0.58","234464","117355","0.5","1","1","0.785","23301195.00"
"DIAMANTINO","MT","DIAMANTINO / MT","0.49","7150","1581","0.22","5","5","0.718","1957070.00"
