"subclass_id";"subclass_name";"class_id";"class_name";"group";"group_color";"workers";"workers_risk";"workers_risk_percentage";"score"
"2591-8/00";"Fabricação de embalagens metálicas";"25.91-8";"Fabricação de embalagens metálicas";"Indústrias de Transformação";"#314b6b";"16586";"1074";"6.475340648739901";"47.95070139475059"
"2592-6/01";"Fabricação de produtos de trefilados de metal padronizados";"25.92-6";"Fabricação de produtos de trefilados de metal";"Indústrias de Transformação";"#314b6b";"13134";"1647";"12.539972590223847";"46.282752144561215"
"2592-6/02";"Fabricação de produtos de trefilados de metal, exceto padronizados";"25.92-6";"Fabricação de produtos de trefilados de metal";"Indústrias de Transformação";"#314b6b";"11336";"1374";"12.120677487649965";"46.66005057633496"
"2593-4/00";"Fabricação de artigos de metal para uso doméstico e pessoal";"25.93-4";"Fabricação de artigos de metal para uso doméstico e pessoal";"Indústrias de Transformação";"#314b6b";"20416";"1901";"9.311324451410659";"45.59672152560086"
"2599-3/01";"Serviços de confecção de armações metálicas para a construção";"25.99-3";"Fabricação de produtos de metal não especificados anteriormente";"Indústrias de Transformação";"#314b6b";"5174";"740";"14.302280633938924";"48.31754928488594"
"2599-3/02";"Serviço de corte e dobra de metais";"25.99-3";"Fabricação de produtos de metal não especificados anteriormente";"Indústrias de Transformação";"#314b6b";"899";"127";"14.126807563959956";"48.14275120504262"
"2599-3/99";"Fabricação de outros produtos de metal não especificados anteriormente";"25.99-3";"Fabricação de produtos de metal não especificados anteriormente";"Indústrias de Transformação";"#314b6b";"74881";"8233";"10.994778381698962";"45.93261307941931"
"2610-8/00";"Fabricação de componentes eletrônicos";"26.10-8";"Fabricação de componentes eletrônicos";"Indústrias de Transformação";"#314b6b";"29659";"2673";"9.012441417444958";"45.592130550591726"
"2621-3/00";"Fabricação de equipamentos de informática";"26.21-3";"Fabricação de equipamentos de informática";"Indústrias de Transformação";"#314b6b";"9234";"1131";"12.248213125406107";"46.6479315572883"
"2622-1/00";"Fabricação de periféricos para equipamentos de informática";"26.22-1";"Fabricação de periféricos para equipamentos de informática";"Indústrias de Transformação";"#314b6b";"24798";"1793";"7.230421808210339";"45.29397532059034"
"2631-1/00";"Fabricação de equipamentos transmissores de comunicação, peças e acessórios";"26.31-1";"Fabricação de equipamentos transmissores de comunicação";"Indústrias de Transformação";"#314b6b";"5602";"626";"11.1745805069618";"46.56444127097467"
"2632-9/00";"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios";"26.32-9";"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação";"Indústrias de Transformação";"#314b6b";"9983";"981";"9.826705399178604";"46.08417643326984"
"2640-0/00";"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo";"26.40-0";"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo";"Indústrias de Transformação";"#314b6b";"11137";"1003";"9.006015982760168";"46.06749274191136"
"2651-5/00";"Fabricação de aparelhos e equipamentos de medida, teste e controle";"26.51-5";"Fabricação de aparelhos e equipamentos de medida, teste e controle";"Indústrias de Transformação";"#314b6b";"17731";"2430";"13.704810783373752";"46.60088733479965"
"2652-3/00";"Fabricação de cronômetros e relógios";"26.52-3";"Fabricação de cronômetros e relógios";"Indústrias de Transformação";"#314b6b";"2335";"342";"14.646680942184155";"47.85667380442539"
"2660-4/00";"Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação";"26.60-4";"Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação";"Indústrias de Transformação";"#314b6b";"5492";"814";"14.821558630735614";"47.446528283563985"
"2670-1/01";"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios";"26.70-1";"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos";"Indústrias de Transformação";"#314b6b";"754";"141";"18.70026525198939";"48.660035366931915"
"2670-1/02";"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios";"26.70-1";"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos";"Indústrias de Transformação";"#314b6b";"831";"78";"9.386281588447654";"45.62815884476532"
"2680-9/00";"Fabricação de mídias virgens, magnéticas e ópticas";"26.80-9";"Fabricação de mídias virgens, magnéticas e ópticas";"Indústrias de Transformação";"#314b6b";"25";"5";"20";"52.57333333333334"
