region,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Ceará,2020-07-01,-37,13,-68,-39,-27,13
Ceará,2020-07-02,-36,11,-67,-38,-28,14
Ceará,2020-07-03,-39,13,-69,-35,-23,14
Ceará,2020-07-04,-43,14,-71,-37,-11,11
Ceará,2020-07-05,-50,5,-66,-42,-2,10
Ceará,2020-07-06,-44,-3,-75,-43,-26,14
Ceará,2020-07-07,-33,17,-68,-34,-26,12
Ceará,2020-07-08,-34,9,-66,-35,-25,13
Ceará,2020-07-09,-35,6,-67,-36,-26,13
Ceará,2020-07-10,-37,10,-67,-31,-21,13
"Espírito Santo",2020-02-15,-1,4,-21,-1,7,0
"Espírito Santo",2020-02-16,-9,-3,-28,-4,-2,3
"Espírito Santo",2020-02-17,-5,0,-19,-6,23,0
"Espírito Santo",2020-02-18,-3,-2,-8,-5,23,-2
"Espírito Santo",2020-02-19,-2,-2,-10,-6,21,-1
"Espírito Santo",2020-02-20,3,9,-6,0,21,-2
"Espírito Santo",2020-02-21,-2,14,-5,8,19,-2
"Espírito Santo",2020-02-22,-4,9,19,12,-6,-1
"Espírito Santo",2020-02-23,-1,9,34,-3,-8,3
"Espírito Santo",2020-02-24,-14,-18,144,-37,-58,9
"Espírito Santo",2020-02-25,-22,-43,147,-35,-64,6
"Espírito Santo",2020-02-26,-15,-12,31,-21,-26,5
"Espírito Santo",2020-02-27,-12,-3,-17,-15,11,3
"Espírito Santo",2020-02-28,-15,3,-42,-19,12,4
"Espírito Santo",2020-02-29,-6,8,-36,-14,5,4
"Espírito Santo",2020-03-01,-22,-4,-51,-19,-4,7
"Espírito Santo",2020-03-02,-13,2,-39,-18,17,2
"Espírito Santo",2020-03-03,-5,3,-22,-5,23,-1
"Espírito Santo",2020-03-04,-9,-2,-31,-7,21,0
"Espírito Santo",2020-03-05,-6,3,-33,-2,22,0
"Espírito Santo",2020-03-06,-3,12,-31,2,24,-1
"Espírito Santo",2020-03-07,-5,10,-52,-9,5,4
"Espírito Santo",2020-03-08,-7,5,-50,-15,1,6
"Espírito Santo",2020-03-09,-3,6,-23,-1,25,-1
"Espírito Santo",2020-03-10,-2,4,-20,-3,24,-1
"Espírito Santo",2020-03-11,-3,0,-20,-2,22,-1
"Espírito Santo",2020-03-12,-6,0,-28,-3,22,0
"Espírito Santo",2020-03-13,-6,4,-31,-1,24,-1
"Espírito Santo",2020-03-14,-4,7,-34,-9,6,2
"Espírito Santo",2020-03-15,-14,2,-35,-15,0,4
"Espírito Santo",2020-03-16,-12,8,-25,-8,21,0
"Espírito Santo",2020-03-17,-18,8,-27,-21,9,3
"Espírito Santo",2020-03-18,-24,0,-31,-26,1,7
"Espírito Santo",2020-03-19,-34,3,-39,-34,-9,10
"Espírito Santo",2020-03-20,-43,3,-52,-40,-15,12
"Espírito Santo",2020-03-21,-66,-15,-75,-57,-33,16
"Espírito Santo",2020-03-22,-76,-41,-83,-67,-38,19
"Espírito Santo",2020-03-23,-67,-28,-66,-64,-41,20
"Espírito Santo",2020-03-24,-68,-35,-64,-68,-47,20
"Espírito Santo",2020-03-25,-67,-33,-61,-68,-48,21
"Espírito Santo",2020-03-26,-66,-31,-60,-68,-47,21
"Espírito Santo",2020-03-27,-65,-25,-62,-65,-44,22
"Espírito Santo",2020-03-28,-68,-26,-68,-65,-38,17
"Espírito Santo",2020-03-29,-68,-35,-69,-69,-31,16
"Espírito Santo",2020-03-30,-60,-26,-54,-65,-40,18
"Espírito Santo",2020-03-31,-58,-21,-53,-64,-41,18
"Espírito Santo",2020-04-01,-58,-20,-56,-64,-42,19
"Espírito Santo",2020-04-02,-56,-17,-53,-64,-41,19
