"name","workers","workers_risk","workers_risk_percentage","score","group","group_color"
"Manutenção e reparação de equipamentos eletrônicos e ópticos","12522","2326","18.575307458872384","50.4032902092318","Indústrias de Transformação","#314b6b"
"Manutenção e reparação de máquinas e equipamentos elétricos","15403","2361","15.328182821528275","50.134237919020066","Indústrias de Transformação","#314b6b"
"Manutenção e reparação de máquinas e equipamentos da indústria mecânica","82574","12896","15.617506721243975","50.26205988971498","Indústrias de Transformação","#314b6b"
"Manutenção e reparação de veículos ferroviários","2017","190","9.419930589985126","47.59246405552799","Indústrias de Transformação","#314b6b"
"Manutenção e reparação de aeronaves","6478","685","10.574251312133374","47.9188020994134","Indústrias de Transformação","#314b6b"
"Manutenção e reparação de embarcações","5483","708","12.912639066204632","50.799319107544505","Indústrias de Transformação","#314b6b"
"Manutenção e reparação de equipamentos e produtos não especificados anteriormente","7571","1155","15.255580504556862","49.464976004931074","Indústrias de Transformação","#314b6b"
"Instalação de máquinas e equipamentos industriais","26461","3882","14.670647367824346","49.71013945051206","Indústrias de Transformação","#314b6b"
"Instalação de equipamentos não especificados anteriormente","13477","2241","16.62832974697633","48.362617793277465","Indústrias de Transformação","#314b6b"
"Geração de energia elétrica","35021","4131","11.795779675052112","49.348467110210045","Eletricidade e Gás","#3a8a7f"
"Transmissão de energia elétrica","10634","1496","14.068083505736318","50.365619710363","Eletricidade e Gás","#3a8a7f"
"Comércio atacadista de energia elétrica","2106","324","15.384615384615385","48.9713516935739","Eletricidade e Gás","#3a8a7f"
"Distribuição de energia elétrica","73448","12182","16.58588389064372","51.600851395999015","Eletricidade e Gás","#3a8a7f"
"Produção de gás","4013","462","11.512584101669573","49.81402109809785","Eletricidade e Gás","#3a8a7f"
"Produção e distribuição de vapor, água quente e ar condicionado","629","54","8.585055643879173","51.290937996820375","Eletricidade e Gás","#3a8a7f"
"Captação, tratamento e distribuição de água","129436","26865","20.755431255601223","52.51023156875463","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Gestão de redes de esgoto","5623","876","15.578872487995731","51.655818365048276","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Atividades relacionadas a esgoto, exceto a gestão de redes","7346","928","12.632725292676286","50.06951629004447","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Coleta de resíduos não-perigosos","125018","9657","7.724487673774977","49.68434678739596","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Coleta de resíduos perigosos","6314","799","12.654418751979726","49.341041072748375","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Tratamento e disposição de resíduos não-perigosos","28069","1863","6.637215433396274","50.506596838742645","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Tratamento e disposição de resíduos perigosos","4959","543","10.949788263762855","48.71109766754046","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Recuperação de materiais metálicos","8535","1009","11.82190978324546","48.02604959968754","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Recuperação de materiais plásticos","10114","842","8.32509392920704","47.49370509524752","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Recuperação de materiais não especificados anteriormente","12399","1102","8.887813533349464","48.52789203430378","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Descontaminação e outros serviços de gestão de resíduos","1698","184","10.836277974087162","51.31723596387909","Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","#f242f5"
"Incorporação de empreendimentos imobiliários","115225","15652","13.583857669776526","52.28802487886016","Construção","#8a8a8a"
"Construção de edifícios","663103","55449","8.362049334718739","51.9809481583806","Construção","#8a8a8a"
"Construção de rodovias e ferrovias","128837","12978","10.073193259700242","49.511980254119585","Construção","#8a8a8a"
"Construção de obras de arte especiais","23363","1748","7.4819158498480505","50.27751858351519","Construção","#8a8a8a"
"Obras de urbanização - ruas, praças e calçadas","42247","3086","7.304660685965867","49.89922755856435","Construção","#8a8a8a"
"Obras para geração e distribuição de energia elétrica e para telecomunicações","181680","44688","24.597093791281374","54.175067884925824","Construção","#8a8a8a"
"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas","32673","3009","9.209438986318979","50.42888623634197","Construção","#8a8a8a"
"Construção de redes de transportes por dutos, exceto para água e esgoto","2327","174","7.477438762354964","49.05686864346079","Construção","#8a8a8a"
"Obras portuárias, marítimas e fluviais","3303","322","9.748713290947624","50.34221414875364","Construção","#8a8a8a"
"Montagem de instalações industriais e de estruturas metálicas","78843","13723","17.405476706873152","50.067936701207884","Construção","#8a8a8a"
"Obras de engenharia civil não especificadas anteriormente","81686","7453","9.123962490512449","50.60737866137808","Construção","#8a8a8a"
"Demolição e preparação de canteiros de obras","4954","434","8.760597496972142","47.94832458619297","Construção","#8a8a8a"
"Perfurações e sondagens","7689","663","8.622707764338667","47.53955867689776","Construção","#8a8a8a"
"Obras de terraplenagem","56806","4587","8.074851248107594","47.67692966705394","Construção","#8a8a8a"
"Serviços de preparação do terreno não especificados anteriormente","4866","721","14.817098232634606","49.312371557747625","Construção","#8a8a8a"
"Instalações elétricas","160314","22856","14.257020597078235","53.18542776467847","Construção","#8a8a8a"
"Instalações hidráulicas, de sistemas de ventilação e refrigeração","69845","9460","13.544276612499107","52.27496599613427","Construção","#8a8a8a"
"Obras de instalações em construções não especificadas anteriormente","51975","13155","25.31024531024531","52.483136123136084","Construção","#8a8a8a"
"Obras de acabamento","107358","9306","8.668194265914044","51.57712513273346","Construção","#8a8a8a"
"Obras de fundações","18511","1129","6.0990762249473285","50.35589649397658","Construção","#8a8a8a"
"Serviços especializados para construção não especificados anteriormente","140801","14450","10.262711202335211","51.57252434286692","Construção","#8a8a8a"
"Comércio a varejo e por atacado de veículos automotores","218391","103778","47.51935748268015","54.0708301471519","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de veículos automotores","7739","3775","48.7789120041349","54.77632769091614","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Manutenção e reparação de veículos automotores","203270","36215","17.816205047473805","48.62042275462845","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio de peças e acessórios para veículos automotores","426567","142786","33.47328790084559","52.339657466861446","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio por atacado e a varejo de motocicletas, peças e acessórios","66842","30458","45.56715837347775","53.704277749518724","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios","517","269","52.03094777562862","54.721470019342355","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Manutenção e reparação de motocicletas","6651","1859","27.950684107652986","49.768606224627845","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos","3278","1030","31.421598535692496","51.430038641448064","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos","2003","699","34.897653519720414","51.89898485604929","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens","3231","1555","48.12751470133086","54.96358196636748","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves","3320","1296","39.036144578313255","53.54678714859434","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico","2678","1262","47.124719940253925","54.623101817276634","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem","3844","1899","49.401664932362124","54.42516475893168","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo","9550","3176","33.2565445026178","53.8193717277487","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente","8738","3476","39.78027008468757","54.69768062867168","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Representantes comerciais e agentes do comércio de mercadorias em geral não especializado","14255","6372","44.70010522623641","54.662714836899305","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de café em grão","7294","1459","20.002741979709352","50.11237546842153","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de soja","13657","3122","22.860071758072785","49.93817578287076","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja","55756","13682","24.539063060477794","49.8512088385107","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de leite e laticínios","18334","3947","21.52830806152504","52.34971455583436","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas","31891","7017","22.003072967294848","49.89115006323622","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de hortifrutigranjeiros","72980","12499","17.126610030145244","49.5216269297524","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de carnes, produtos da carne e pescado","48115","8794","18.277044580692092","50.31864629879804","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de bebidas","113466","19456","17.146986762554423","49.996401271452825","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de produtos do fumo","9722","1892","19.461016251800043","50.95995337036272","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista especializado em produtos alimentícios não especificados anteriormente","60408","15740","26.05615150311217","52.2632984593652","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de produtos alimentícios em geral","149713","37693","25.17683835071103","52.01074277673501","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de tecidos, artefatos de tecidos e de armarinho","24087","9001","37.36870511064059","52.939151132699514","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de artigos do vestuário e acessórios","38351","13636","35.55578733279445","52.4095503811287","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de calçados e artigos de viagem","6559","2220","33.8466229608172","52.027798953092464","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de produtos farmacêuticos para uso humano e veterinário","69224","20160","29.122847567317695","52.34755768712196","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico","44439","19015","42.7889916514773","56.30339716615287","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal","64837","12942","19.96082483766985","51.81690495653205","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de artigos de escritório e de papelaria","26863","9631","35.85228753303801","52.665574706225456","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente","76296","23616","30.953129915067628","51.971444549299264","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de computadores, periféricos e suprimentos de informática","23539","6033","25.629805854114444","50.28729626010736","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação","14100","4083","28.95744680851064","51.5545390070922","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário","32905","12220","37.13721318948488","53.27343362204322","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção","7901","1892","23.946335906847235","52.31109986077711","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de máquinas e equipamentos para uso industrial","33854","8958","26.46068411413718","50.75443571414506","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar","10146","3259","32.12103291937709","52.6466916354557","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de máquinas e equipamentos para uso comercial","7800","2646","33.92307692307692","52.10440170940171","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente","26818","6312","23.53643075546275","50.510751485320846","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de madeira e produtos derivados","15532","2545","16.38552665464847","46.76895012447419","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de ferragens e ferramentas","27051","7739","28.608923884514436","50.959212844873235","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de material elétrico","15299","5100","33.33551212497549","52.216136130901845","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de cimento","4053","1074","26.498889711324946","50.635825314581794","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral","45364","12035","26.529847456132615","50.944111336448906","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP","28500","6505","22.824561403508774","49.85091228070173","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de gás liqüefeito de petróleo (GLP)","15880","2540","15.994962216624685","49.728820319059615","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo","34186","12595","36.8425671327444","52.438278827590224","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos","13680","3044","22.251461988304094","50.16245126705653","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção","13181","3008","22.820726803732647","48.9823230407404","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de papel e papelão em bruto e de embalagens","22250","5735","25.775280898876407","50.86365543071155","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de resíduos e sucatas","43976","5560","12.64325995997817","47.99307955854711","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente","41682","10546","25.301089199174704","50.684076259936404","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios","86159","22665","26.306015622279737","52.01769983402779","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários","11301","4307","38.11167153349261","52.865056189717684","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários","64930","16123","24.831356845833973","51.24133682427225","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados","1297632","515118","39.69677073315085","55.40655465750947","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","383377","174397","45.48968769644502","56.36921794126059","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios","155585","94057","60.45377125044188","57.0543604246339","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes","305663","148271","48.5079973696522","56.874745498582826","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de carnes e pescados - açougues e peixarias","82130","27747","33.784244490441985","57.195657291286125","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de bebidas","56609","23342","41.23372608595806","55.60214806832842","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de hortifrutigranjeiros","67422","27399","40.63807065942867","54.66631069977163","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente","149039","69099","46.363032494850344","56.649751631004754","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de combustíveis para veículos automotores","353301","52400","14.831545905615892","52.712270839878784","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de lubrificantes","12748","3006","23.580169438343273","53.47165568455182","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de tintas e materiais para pintura","36387","18849","51.80146755709457","56.05933437766236","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de material elétrico","51147","21996","43.005454865387996","54.927887591973445","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de vidros","34335","8139","23.704674530362606","54.342556186592915","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de ferragens, madeira e materiais de construção","580732","229422","39.50565837598066","53.38426158710039","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista especializado de equipamentos e suprimentos de informática","84638","30112","35.57740022212245","52.97939065982966","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista especializado de equipamentos de telefonia e comunicação","76716","43992","57.34396996715157","56.80542085962076","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo","183743","102872","55.98689473884719","56.57756939493386","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista especializado de móveis, colchoaria e artigos de iluminação","213541","102482","47.991720559517844","54.431456566498525","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista especializado de tecidos e artigos de cama, mesa e banho","118063","80943","68.5591590930266","58.25866980623331","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista especializado de instrumentos musicais e acessórios","5376","3354","62.38839285714286","57.15866815476191","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação","29093","12995","44.66710205204001","54.99752517787788","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de artigos de uso doméstico não especificados anteriormente","79583","40353","50.705552693414425","55.76128486402037","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de livros, jornais, revistas e papelaria","106817","65174","61.01463250231704","57.251807608651525","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de discos, CDs, DVDs e fitas","2685","1645","61.26629422718808","57.27163252638111","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de artigos recreativos e esportivos","85271","52301","61.33503770332235","57.362890079862986","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de produtos farmacêuticos para uso humano e veterinário","493562","386605","78.329571563451","70.8603323054314","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","113359","76021","67.06216533314515","59.08532185358028","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de artigos médicos e ortopédicos","20023","12279","61.32447685162064","59.88050408696661","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de artigos de óptica","73687","54619","74.12297963005686","59.33114841604803","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de artigos do vestuário e acessórios","676998","486790","71.90420060325141","58.730280345485994","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de calçados e artigos de viagem","195493","147991","75.70143176482023","59.34884284006758","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de jóias e relógios","37790","27419","72.55623180735644","58.31640645673458","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de gás liqüefeito de petróleo (GLP)","51778","16487","31.841708833867667","54.34051141411411","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de artigos usados","5281","2245","42.51088808937701","53.94697973868586","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Comércio varejista de outros produtos novos não especificados anteriormente","377025","194582","51.60984019627346","56.15481113100359","Comércio & Reparação de Veículos Automotores e Motocicletas","#abf051"
"Transporte ferroviário de carga","33096","4956","14.974619289340103","51.97816453146405","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte metroferroviário de passageiros","34512","7264","21.0477515067223","54.531447998763696","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana","455346","346734","76.14736925327114","64.24510957967495","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional","115847","80572","69.5503552098889","62.84975873350195","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte rodoviário de táxi","21454","11518","53.686958143003636","58.02812218389736","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte escolar","20353","11231","55.181054390016214","63.6162236525328","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente","65055","41835","64.30712474060411","62.53476289293685","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte rodoviário de carga","905191","128856","14.23522770332449","47.63939654724805","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte dutoviário","3483","303","8.699397071490095","49.41697770121544","Transporte, Armazenagem e Correio","#f7b78f"
"Trens turísticos, teleféricos e similares","286","149","52.09790209790209","58.85664335664337","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte marítimo de cabotagem","7490","1151","15.367156208277704","55.62042723631511","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte marítimo de longo curso","814","112","13.75921375921376","56.82227682227683","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte por navegação interior de carga","9330","1615","17.309753483386924","53.38345837799212","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte por navegação interior de passageiros em linhas regulares","2846","716","25.15811665495432","57.21714687280392","Transporte, Armazenagem e Correio","#f7b78f"
"Navegação de apoio","16835","1848","10.977130977130978","54.66918126918122","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte por navegação de travessia","4039","774","19.16315919782124","55.952050837666114","Transporte, Armazenagem e Correio","#f7b78f"
"Transportes aquaviários não especificados anteriormente","1316","418","31.762917933130698","57.11296859169202","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte aéreo de passageiros regular","54049","36222","67.01696608632908","65.03005297662","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte aéreo de passageiros não-regular","5929","2935","49.50244560634171","55.765390453702146","Transporte, Armazenagem e Correio","#f7b78f"
