"name","workers","workers_risk","workers_risk_percentage","score","group","group_color"
"Pesquisa e desenvolvimento experimental em ciências físicas e naturais","37497","6560","17.49473291196629","46.475878070245635","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Pesquisa e desenvolvimento experimental em ciências sociais e humanas","5127","2599","50.692412716988485","60.55425524998378","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Agências de publicidade","28362","4877","17.195543332628162","48.49176127682576","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Agenciamento de espaços para publicidade, exceto em veículos de comunicação","5932","1589","26.786918408631156","50.487918633400774","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Atividades de publicidade não especificadas anteriormente","66371","15651","23.58108209910955","53.325453385765876","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Pesquisas de mercado e de opinião pública","7823","3975","50.81170906301931","55.16276790660023","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Design e decoração de interiores","2509","717","28.57712235950578","50.80709445994421","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Atividades fotográficas e similares","14255","6847","48.03226937916521","54.47419618847176","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Atividades profissionais, científicas e técnicas não especificadas anteriormente","83676","30966","37.00702710454611","54.002206925123765","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Atividades veterinárias","14653","10798","73.69139425373643","68.87772697286114","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Locação de automóveis sem condutor","46782","21887","46.78508828181779","55.99697889501657","Atividades Administrativas e Serviços Complementares","#343deb"
"Locação de meios de transporte, exceto automóveis, sem condutor","6623","1361","20.54959987920882","50.81493784287079","Atividades Administrativas e Serviços Complementares","#343deb"
"Aluguel de equipamentos recreativos e esportivos","3207","1351","42.12659806672903","56.7551190104979","Atividades Administrativas e Serviços Complementares","#343deb"
"Aluguel de fitas de vídeo, DVDs e similares","962","598","62.16216216216216","58.506583506583496","Atividades Administrativas e Serviços Complementares","#343deb"
"Aluguel de objetos do vestuário, jóias e acessórios","13823","5204","37.6473992620994","54.62962695025196","Atividades Administrativas e Serviços Complementares","#343deb"
"Aluguel de objetos pessoais e domésticos não especificados anteriormente","9965","3124","31.34972403411942","53.292289680548556","Atividades Administrativas e Serviços Complementares","#343deb"
"Aluguel de máquinas e equipamentos agrícolas sem operador","5286","510","9.648127128263337","43.20544835414302","Atividades Administrativas e Serviços Complementares","#343deb"
"Aluguel de máquinas e equipamentos para construção sem operador","42152","7887","18.710855949895617","50.4603419371165","Atividades Administrativas e Serviços Complementares","#343deb"
"Aluguel de máquinas e equipamentos para escritórios","11813","3220","27.258105477016848","52.04726431332715","Atividades Administrativas e Serviços Complementares","#343deb"
"Aluguel de máquinas e equipamentos não especificados anteriormente","49343","11768","23.849380864560324","51.690445791027486","Atividades Administrativas e Serviços Complementares","#343deb"
"Gestão de ativos intangíveis não-financeiros","9564","2939","30.729820158929318","51.76707793113064","Atividades Administrativas e Serviços Complementares","#343deb"
"Seleção e agenciamento de mão-de-obra","96074","33317","34.67847700730687","55.601338551533196","Atividades Administrativas e Serviços Complementares","#343deb"
"Locação de mão-de-obra temporária","265344","74963","28.25125120598167","53.41257261014633","Atividades Administrativas e Serviços Complementares","#343deb"
"Fornecimento e gestão de recursos humanos para terceiros","170655","63457","37.18437783832879","55.76375338157885","Atividades Administrativas e Serviços Complementares","#343deb"
"Agências de viagens","58865","24171","41.06175146521702","54.449282256009525","Atividades Administrativas e Serviços Complementares","#343deb"
"Operadores turísticos","3593","1338","37.23907598107431","53.98172372205213","Atividades Administrativas e Serviços Complementares","#343deb"
"Serviços de reservas e outros serviços de turismo não especificados anteriormente","4941","2328","47.11596842744384","55.51899075760646","Atividades Administrativas e Serviços Complementares","#343deb"
"Atividades de vigilância e segurança privada","515182","19860","3.85494834835068","56.795047834228164","Atividades Administrativas e Serviços Complementares","#343deb"
"Atividades de transporte de valores","48069","11183","23.26447398531278","57.21418516438176","Atividades Administrativas e Serviços Complementares","#343deb"
"Atividades de monitoramento de sistemas de segurança","43169","14019","32.47469248766476","56.366520728609295","Atividades Administrativas e Serviços Complementares","#343deb"
"Atividades de investigação particular","104","49","47.11538461538461","56.41025641025643","Atividades Administrativas e Serviços Complementares","#343deb"
"Serviços combinados para apoio a edifícios, exceto condomínios prediais","227425","104112","45.77860833241728","58.39761093400756","Atividades Administrativas e Serviços Complementares","#343deb"
"Condomínios prediais","573064","350116","61.09544483687686","59.78624958701525","Atividades Administrativas e Serviços Complementares","#343deb"
"Limpeza em prédios e em domicílios","643809","156991","24.384716585198404","56.11158071208491","Atividades Administrativas e Serviços Complementares","#343deb"
"Imunização e controle de pragas urbanas","20549","4554","22.161662367998442","54.50083540156048","Atividades Administrativas e Serviços Complementares","#343deb"
"Atividades de limpeza não especificadas anteriormente","101205","18196","17.97934884640087","54.342288753849445","Atividades Administrativas e Serviços Complementares","#343deb"
"Atividades paisagísticas","25989","2547","9.800300126976797","49.95247989534031","Atividades Administrativas e Serviços Complementares","#343deb"
"Serviços combinados de escritório e apoio administrativo","394763","137137","34.73907129087579","53.54252213775521","Atividades Administrativas e Serviços Complementares","#343deb"
"Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo","92353","40743","44.116596104078916","54.704784901410875","Atividades Administrativas e Serviços Complementares","#343deb"
